,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,G
110,156170,18.81036014554002,22.30427639019785,905,1,3000.0,314.55807736668424,,
111,156170,20.58398057038943,22.25680341409751,2445,1,77000.0,153.7688817351052,,
112,156170,18.89642860520076,22.93371749961012,2465,1,1000.0,157.58199543456615,,
113,156170,20.871508244097026,22.538918157990977,2785,1,16000.0,174.55986025889422,,
114,156170,22.32892020561898,21.723121003420623,2885,1,5000.0,144.75089313567943,,
115,50488,22.12477489005201,23.898743484358747,325,1,,,,
116,50488,23.02858604102201,24.40435529158418,385,1,3000.0,89.75414911836113,,
117,50488,23.79212602280477,24.191755429301853,525,1,7000.0,68.69078235031444,,
118,50488,22.347407408666825,24.41251434403596,945,1,21000.0,126.66231827987389,,
119,50488,21.599533221199927,24.41693770210236,1065,1,6000.0,64.81692153241448,,
120,152851,21.381682578514027,18.064799732786984,585,1,,,,
121,152851,19.64942512306684,20.55196663655381,765,1,9000.0,262.68325210148436,,
122,152851,21.11266747008221,19.60498640625844,785,1,1000.0,151.0551037133514,,
123,152851,22.556427882957323,18.125646126858665,1725,1,47000.0,179.14851298180085,,
124,152851,22.25714981815044,18.982070599418726,2265,1,27000.0,78.62490900000054,,
125,197492,21.289898003534105,21.242035251979303,225,1,,,,
126,197492,19.933452062909108,21.70391035534986,465,1,12000.0,124.1868854923484,,
127,197492,20.22577660490712,20.539986736241843,525,1,3000.0,104.00624475238999,,
128,197492,18.953232203116816,21.55476375650927,625,1,5000.0,141.06031557056363,,
129,197492,19.791327122641132,22.710416163333758,1985,1,68000.0,123.7221578776024,,
130,197492,22.77538371186102,22.06772848346819,2205,1,11000.0,264.5484682305192,,
131,197492,22.379388677163817,21.9980818178539,2225,1,1000.0,34.84634310910765,,
132,197492,21.54561382893813,23.12588874937006,2385,1,8000.0,121.5538384689678,,
133,197492,20.61455784721721,23.15376041524461,2405,1,1000.0,80.7276966841305,,
134,203621,18.339192224866668,21.29307984991972,305,1,,,,
135,203621,18.56476796367108,22.862349207406307,485,1,9000.0,137.40131976913835,,
136,203621,18.64032094455718,19.68326244097052,725,1,12000.0,275.5987558691538,,
137,203621,18.2138001393537,18.380421062793744,745,1,1000.0,118.80976200641805,,
138,203621,18.779922542348363,20.987253296402564,1425,1,34000.0,231.19174956540343,,
139,203621,21.85997796336691,24.157642823089237,1445,1,1000.0,383.0835895947176,,
140,203621,23.52153356577265,17.875706199657788,2105,1,33000.0,563.1568206148411,,
141,203621,22.487930945140235,23.50965145147768,2345,1,12000.0,496.4245084387822,,
142,203621,23.394639521437405,23.757671558817663,2385,1,2000.0,81.46828453723643,,
