,synID,x,y,frame,frameRelat,timeFromLast,distFromLast,cluster,cluster_o,G
39,48628,20.959875027029245,23.127738806991744,205,1,,,0.0,-1.0,"b'\x80\x04\x95\x93\x02\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@4\xf5\xba^\xa9Vu\x8c\x01y\x94G@7 \xb3}\x8eu\xa8uK\x01}\x94(h\nG@6\xfdS\x8bN\xe8\xe0h\x0bG@3-{\xab\xc9\xcdvuK\x02}\x94(h\nG@4\xeb\xad\x99g\x9e\xf2h\x0bG@3F\xaa.\xeaO\x00uK\x03}\x94(h\nG@5\x93s\x8c\x96ySh\x0bG@5\x04HJ\xd3\xc0\xefuK\x04}\x94(h\nG@5WgT\xd2\x92\xddh\x0bG@6e\x87\x01\x99]%uK\x05}\x94(h\nG@6\xc9\xa1}c\xe5\xfch\x0bG@3\xf4\xf3O|\xc6iuK\x06}\x94(h\nG@3\xc7\xf5\xd7\x1d\xae\xfeh\x0bG@4\xbd\x16H\xe4.\xc0uK\x07}\x94(h\nG@6\xbci\x11\xa5\xa2\xd5h\x0bG@4d\xd06\x15rsuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@i\x00\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@5\xfc/^>XpusK\x01}\x94K\x02}\x94(h\x17G@\x988\x00\x00\x00\x00\x00h\x18G@l]\xf5\xd2\xae|MusK\x02}\x94K\x03}\x94(h\x17G@\xb9\x96\x00\x00\x00\x00\x00h\x18G@f\xf8]-`\xe4\xa9usK\x03}\x94K\x04}\x94(h\x17G@\x82\xc0\x00\x00\x00\x00\x00h\x18G@RG;.pr\x1dusK\x04}\x94K\x05}\x94(h\x17G@o@\x00\x00\x00\x00\x00h\x18G@Z\x89FM\xa6QyusK\x05}\x94K\x06}\x94(h\x17G@\x8f@\x00\x00\x00\x00\x00h\x18G@p\xd3\xb0G\xc5\xdd\x18usK\x06}\x94K\x07}\x94(h\x17G@\x8f@\x00\x00\x00\x00\x00h\x18G@p\x1d>\x15\x988\xf1usK\x07}\x94u\x8c\x05_succ\x94h\x14\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x16sK\x02}\x94K\x01h\x1asK\x03}\x94K\x02h\x1csK\x04}\x94K\x03h\x1esK\x05}\x94K\x04h sK\x06}\x94K\x05h""sK\x07}\x94K\x06h$suub.'"
40,48628,22.9895560329104,19.17766832043477,385,1,9000.0,384.8885791995549,1.0,-1.0,
41,48628,20.92061766414458,19.276034290508505,985,1,30000.0,179.51060486349647,2.0,-1.0,
42,48628,21.575981890427396,21.01672809285895,1185,1,10000.0,161.1981325508343,3.0,-1.0,
43,48628,21.341420461091605,22.396591281835885,1745,1,28000.0,121.30370802125377,4.0,-1.0,
44,48628,22.787620388879063,19.956837623560578,1885,1,7000.0,245.8019815557061,5.0,0.0,
45,48628,19.781094975230182,20.738621288021704,1905,1,1000.0,269.23064074818234,6.0,-1.0,
46,48628,22.735978224695675,20.393802051769352,1925,1,1000.0,257.827756477467,5.0,0.0,
47,43877,20.795149264535016,20.471365409888485,385,1,,,0.0,-1.0,"b'\x80\x04\x95\xd9\x02\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@4\xcb\x8e\xe6\xf6\x9d\xc9\x8c\x01y\x94G@4x\xabgK\xef\xcauK\x01}\x94(h\nG@3\xee}@\xaf\xc13h\x0bG@3\x97\x8c\x90>\xcfDuK\x02}\x94(h\nG@3\n\x92\';N3h\x0bG@5\x9c\xeb\x05\xc4\xe8\xfeuK\x03}\x94(h\nG@4\x13\t\xb2J7\xb9h\x0bG@4\xbe\xf5\x9a\xa5\xc7/uK\x04}\x94(h\nG@6\xfa<\x8bJL\xe6h\x0bG@5\x10\x1ax7\xb3ZuK\x05}\x94(h\nG@4\xe9\xec4;\xafGh\x0bG@73)W@\x9a\xe2uK\x06}\x94(h\nG@7.\xdb0\x8e\xa4\xa5h\x0bG@6""i\xb6]\xee\xebuK\x07}\x94(h\nG@8\x0f\xcd\xe8\x89vDh\x0bG@4\x90>\xed@\xe0\xc2uK\x08}\x94(h\nG@7Y\xf2\x94\x0c\x87\xddh\x0bG@6\n\x8f\x88\x04\xa3Kuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\xa7p\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@Z\xb417\xd9\x80^usK\x01}\x94K\x02}\x94(h\x18G@\x99\x00\x00\x00\x00\x00\x00h\x19G@f:\xd4v{\xb6\xbcusK\x02}\x94K\x03}\x94(h\x18G@\xc0\xb3\x00\x00\x00\x00\x00h\x19G@^\xa6J7\xce\xda]usK\x03}\x94K\x04}\x94(h\x18G@r\xc0\x00\x00\x00\x00\x00h\x19G@XLI\xc8/\xe62usK\x04}\x94K\x05}\x94(h\x18G@\x99\x00\x00\x00\x00\x00\x00h\x19G@3\x14\xc0 \xf3P\xe6usK\x05}\x94K\x06}\x94(h\x18G@\x97p\x00\x00\x00\x00\x00h\x19G@N\xff\xbd#\xdcx\xe7usK\x06}\x94K\x07}\x94(h\x18G@\x90h\x00\x00\x00\x00\x00h\x19G@yY\x8ev\x0e\x7f\xf8usK\x07}\x94K\x08}\x94(h\x18G@\x8f@\x00\x00\x00\x00\x00h\x19G@a\xc3W\xb91^\xa3usK\x08}\x94u\x8c\x05_succ\x94h\x15\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x17sK\x02}\x94K\x01h\x1bsK\x03}\x94K\x02h\x1dsK\x04}\x94K\x03h\x1fsK\x05}\x94K\x04h!sK\x06}\x94K\x05h#sK\x07}\x94K\x06h%sK\x08}\x94K\x07h\'suub.'"
48,43877,19.931598704251154,19.591988578161605,445,1,3000.0,106.81554512112827,1.0,-1.0,
49,43877,19.0412926215924,21.612961159299623,825,1,19000.0,191.39365193032526,2.0,-1.0,
50,43877,20.07436670600848,20.74593512103382,1065,1,12000.0,116.88688107909049,3.0,-1.0,
51,43877,22.97748632968878,21.062903894041803,1485,1,21000.0,253.09900600185722,4.0,-1.0,
52,43877,20.9137604375567,23.199849560997684,2325,1,42000.0,257.46722544460806,5.0,-1.0,
53,43877,23.18303206903933,22.134425542767456,2445,1,6000.0,217.26776596535646,6.0,0.0,
54,43877,24.06173566204076,20.563460186328264,2505,1,3000.0,156.00131559045707,7.0,-1.0,
55,43877,23.351357701358086,22.041252614147464,2525,1,1000.0,142.10451307958104,6.0,0.0,
56,226261,20.63722784651282,21.36934029778552,505,1,,,0.0,0.0,"b'\x80\x04\x95\x1f\x03\x00\x00\x00\x00\x00\x00\x8c\x18networkx.classes.digraph\x94\x8c\x07DiGraph\x94\x93\x94)\x81\x94}\x94(\x8c\x05graph\x94}\x94\x8c\x05_node\x94}\x94(K\x00}\x94(\x8c\x01x\x94G@4\xa3!]8\xdf\x81\x8c\x01y\x94G@5^\x8d\x15\xf4\x15nuK\x01}\x94(h\nG@4;\xbe\x15q,ih\x0bG@5AK\x18:\x1d\x06uK\x02}\x94(h\nG@4.\x8e\xc6\xe5\xae\xfbh\x0bG@5\x02\x13H\x1c\xbb\xfbuK\x03}\x94(h\nG@4\x02?\xa1\xe6\x1c\x08h\x0bG@6\x1e\xa2\xcd}\xd2\xbduK\x04}\x94(h\nG@4g<\x05\xd1-\xdah\x0bG@6\x06]Z*\xd4~uK\x05}\x94(h\nG@4\x83\xd1\xd6\xdf2\x89h\x0bG@5C\xafQ\xbf\x1b\xbeuK\x06}\x94(h\nG@3\xf2\xdcL2\xb8\xc8h\x0bG@5\x86\x0f\x84\xb8?>uK\x07}\x94(h\nG@3y4\xdeT\xb9,h\x0bG@4\xfaO]\xf1~\xecuK\x08}\x94(h\nG@6\xa5\x8al\xbb*3h\x0bG@6\x14|B\x902\x8euK\t}\x94(h\nG@4\xa0\xe30\xf7\x95\xc5h\x0bG@6\x0e\xec\x8b\x8b\x9d\xdfuu\x8c\x04_adj\x94}\x94(K\x00}\x94K\x01}\x94(\x8c\x0ctimeFromLast\x94G@\x9d\xb0\x00\x00\x00\x00\x00\x8c\x0cdistFromLast\x94G@^\xf2\\\xf5\n\x19\xccusK\x01}\x94K\x02}\x94(h\x19G@Y\x00\x00\x00\x00\x00\x00h\x1aG@F\x8a\x83Q\xd2\x05\x1eusK\x02}\x94K\x03}\x94(h\x19G@\x9f@\x00\x00\x00\x00\x00h\x1aG@X_\xc6\xbbnk\x07usK\x03}\x94K\x04}\x94(h\x19G@\xaf@\x00\x00\x00\x00\x00h\x1aG@A\x94\xac-\xcfd\xa1usK\x04}\x94K\x05}\x94(h\x19G@| \x00\x00\x00\x00\x00h\x1aG@O\xb9\xb9\xb9\x91\xe2:usK\x05}\x94K\x06}\x94(h\x19G@\x93\x88\x00\x00\x00\x00\x00h\x1aG@`\x1a\x8cT\x8bY\x17usK\x06}\x94K\x07}\x94(h\x19G@\xb4\xb4\x00\x00\x00\x00\x00h\x1aG@a1\xc1a}M\x00usK\x07}\x94K\x08}\x94(h\x19G@\xb9\x96\x00\x00\x00\x00\x00h\x1aG@kE\xba\xcbLu6usK\x08}\x94K\t}\x94(h\x19G@\xbb\xbc\x00\x00\x00\x00\x00h\x1aG@[\x10Q\xda\x1fN|usK\t}\x94u\x8c\x05_succ\x94h\x16\x8c\x05_pred\x94}\x94(K\x00}\x94K\x01}\x94K\x00h\x18sK\x02}\x94K\x01h\x1csK\x03}\x94K\x02h\x1esK\x04}\x94K\x03h sK\x05}\x94K\x04h""sK\x06}\x94K\x05h$sK\x07}\x94K\x06h&sK\x08}\x94K\x07h(sK\t}\x94K\x08h*suub.'"
57,226261,20.23336919796967,21.255052103221736,725,1,11000.0,36.37561527739875,0.0,0.0,
58,226261,20.1818661032439,21.008106715216837,805,1,4000.0,21.86245341627534,0.0,0.0,
59,226261,20.00878345363529,22.1196716720758,845,1,2000.0,97.49654214670198,1.0,1.0,
60,226261,20.40325962407028,22.02486194177299,925,1,4000.0,35.161518008086034,1.0,1.0,
61,226261,20.51492064427524,21.26439391055805,965,1,2000.0,66.6139340378876,0.0,0.0,
62,226261,19.948673975356343,21.523674292547405,1065,1,5000.0,53.97475209282457,0.0,0.0,
63,226261,19.473462958988577,20.97777354379552,1465,1,20000.0,62.72616620299578,2.0,-1.0,
64,226261,22.64664344376997,22.080021057323897,1945,1,24000.0,291.12819000619766,3.0,-1.0,
65,226261,20.62846666378552,22.058296891771416,2225,1,14000.0,174.91885450625313,1.0,1.0,
